ID,Word,Color,Shape,Texture
1,Apple,"Red; Green; Yellow; White; Brown","Round","Smooth; Hard; Glossy"
2,House,"Red; White; Gray; Brown; Beige","Square; Rectangle; Cube","Rough; Hard; Matte"
3,Car,"Red; Blue; Black; White; Silver","Rectangle; Curved","Smooth; Hard; Glossy"
4,Tree,"Green; Brown","Round; Cylinder","Rough"
5,Dog,"Black; White; Brown; Gold","Curved","Soft; Fuzzy"
6,Cat,"Orange; Black; White; Gray","Curved","Silky; Soft; Fuzzy"
7,Book,"Red; Blue; Black","Rectangle; Cube; Flat","Smooth; Hard"
8,Computer,"Black; Gray; Silver","Rectangle; Cube","Smooth; Hard; Glossy"
9,Phone,"Black; Silver; White","Rectangle; Flat","Smooth; Hard; Glossy"
10,Chair,"Black; White; Gray; Brown","Rectangle","Soft; Hard"
11,Table,"Black; White; Brown; Beige","Round; Square; Rectangle; Flat","Smooth; Hard"
12,Spoon,"Silver","Oval; Curved","Smooth; Hard"
13,Fork,"Silver","Flat; Curved","Smooth; Hard"
14,Knife,"Black; Silver","Flat; Curved","Smooth; Hard; Sharp"
15,Plate,"Blue; White; Beige","Round; Flat","Smooth; Hard; Glossy"
16,Cup,"Red; Blue; White","Round; Cylinder","Smooth; Hard"
17,Bottle,"Green; White; Brown; Transparent","Cylinder","Smooth; Glossy"
18,Pen,"Blue; Black; Transparent","Cylinder","Smooth; Hard"
19,Pencil,"Yellow; Orange","Hexagon; Cylinder","Smooth; Hard"
20,Paper,"White","Rectangle; Flat","Smooth; Flexible; Fine"
21,Bag,"Black; Brown","Square; Rectangle","Rough; Soft; Flexible"
22,Shoe,"Black; White; Brown","Curved","Rough; Soft; Hard"
23,Shirt,"Red; Blue; White","Flat","Silky; Soft; Flexible"
24,Pants,"Blue; Black; Brown","Cylinder","Rough; Soft; Flexible"
25,Hat,"Red; Black","Round; Cone","Soft; Flexible"
26,Door,"White; Brown","Rectangle","Smooth; Hard"
27,Window,"White; Transparent","Square; Rectangle","Smooth; Hard; Glossy"
28,Wall,"White; Beige","Rectangle; Flat","Rough; Smooth"
29,Floor,"Gray; Brown","Flat","Rough; Smooth; Hard"
30,Ceiling,"White","Flat","Rough; Smooth"
31,Light,"Yellow; White","Round; Sphere","Hard; Glossy"
32,Fan,"Black; White","Round","Smooth; Hard"
33,Heater,"White","Rectangle","Hard"
34,Cooler,"Red; Blue","Rectangle","Hard"
35,Radio,"Black","Rectangle","Smooth; Hard"
36,TV,"Black","Rectangle; Flat","Smooth; Glossy"
37,Remote,"Black","Rectangle","Smooth; Hard"
38,Key,"Gold; Silver","Flat; Jagged","Smooth; Hard"
39,Lock,"Black; Gold; Silver","Round; Square","Smooth; Hard"
40,Wallet,"Black; Brown","Rectangle; Flat","Smooth; Soft"
41,Money,"Green; Silver","Rectangle; Flat","Smooth; Fine"
42,Card,"White; Gold","Rectangle; Flat","Smooth; Flexible; Glossy"
43,Train,"Red; Silver","Rectangle; Cylinder","Smooth; Hard"
44,Bus,"Red; Yellow; White","Rectangle","Smooth; Hard"
45,Bike,"Red; Blue; Black","Round; Triangle","Smooth; Hard"
46,Plane,"White; Silver","Cylinder","Smooth; Hard; Glossy"
47,Boat,"Blue; White","Curved","Smooth; Hard"
48,Road,"Black; Gray","Flat","Rough; Grainy"
49,Bridge,"Red; Gray","Flat; Curved","Rough; Hard"
50,City,"Gray","Square; Rectangle","Rough; Hard"
